"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm10029","Gm10029","chr13",333,"predicted gene 10029","protein-coding",4.87122434465361,7.58897678717314,24.2623405854172,3.35779894422948e-09,9.08015990498537e-06,11.5280438779847
"Igf2","Igf2","chr7",4236,"insulin-like growth factor 2","protein-coding",-11.0856880749069,0.968701530107231,-29.0551148122531,7.28290884469541e-10,8.02651081852923e-06,11.1916022659032
"Anxa2","Anxa2","chr9",1374,"annexin A2","protein-coding",-8.76016880585769,1.26623502039787,-26.6344776437219,1.52376860892283e-09,8.02651081852923e-06,11.1609941729392
"S100a4","S100a4","chr3",499,"S100 calcium binding protein A4","protein-coding",-8.6695946517436,1.28145108496098,-24.5257299860051,3.06461635735748e-09,9.08015990498537e-06,10.762458464303
"H19","H19","chr7",2615,"H19, imprinted maternally expressed transcript","ncRNA",-11.1962832844998,2.28659506314677,-23.2414081716399,4.82972513668694e-09,9.45288415288435e-06,10.5995838954989
"Rpl13-ps6","Rpl13-ps6","chr3",636,"ribosomal protein L13, pseudogene 6","protein-coding",8.17460789723594,8.65400879267998,22.0688961243968,7.47761637679426e-09,1.01104851030635e-05,10.2918939497265
"Eng","Eng","chr2",3572,"endoglin","protein-coding",-8.53813231760153,0.711461661839249,-23.0837154249523,5.11571160546904e-09,9.45288415288435e-06,10.2721381703051
"Rps16","Rps16","chr7",615,"ribosomal protein S16","protein-coding",3.69848481937997,7.49948824870049,19.6133333688993,2.01907261603244e-08,1.09585544048604e-05,10.1559658328229
"Cbx3","Cbx3","chr6",1803,"chromobox 3","protein-coding",3.96838753301705,6.83463996883456,19.9706660370482,1.7347729926668e-08,1.09585544048604e-05,10.1425114862506
"Rpl5","Rpl5","chr5",2019,"ribosomal protein L5","protein-coding",3.18136240090607,7.40666096755778,18.3713399548314,3.49586146246313e-08,1.15892085056279e-05,9.65211156305042
"Osr1","Osr1","chr12",2011,"odd-skipped related transcription factor 1","protein-coding",-10.3047715832589,-2.60698992330713,-26.1490502866544,1.78089878378727e-09,8.02651081852923e-06,9.6379202712931
"Serpinh1","Serpinh1","chr7",2444,"serine (or cysteine) peptidase inhibitor, clade H, member 1","protein-coding",-9.09686792105551,0.797974334935899,-20.2311315383898,1.55564757899273e-08,1.09585544048604e-05,9.53764580125888
"Pls3","Pls3","chrX",3421,"plastin 3 (T-isoform)","protein-coding",-8.1441938415761,-0.318201652298566,-20.4605258908691,1.41484679106115e-08,1.09585544048604e-05,9.32216153504057
"Arhgef40","Arhgef40","chr14",5643,"Rho guanine nucleotide exchange factor (GEF) 40","protein-coding",-6.81878123177577,-0.267520416273976,-20.106679395623,1.63852421706877e-08,1.09585544048604e-05,9.25080804786091
"Col1a1","Col1a1","chr11",4709,"collagen, type I, alpha 1","protein-coding",-8.65625509811841,2.56198041916341,-18.0671912248786,4.02054160695673e-08,1.15892085056279e-05,9.2232890812645
